Event	ID	Name			Wwise Object Path	Notes
	14729946	Play_Player_Parry			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Parry	
	26955442	Play_Random_Sounds			\Default Work Unit\SFX_Events\General_Events\Play_Random_Sounds	
	31196771	Play_Menu_Reject			\Default Work Unit\UI_Events\Play_Menu_Reject	
	122138110	Play_KnockBack_Throw			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_KnockBack_Throw	
	142959787	Play_Player_Block			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Block	
	418140392	Play_Option_Down			\Default Work Unit\UI_Events\Play_Option_Down	
	446385835	Play_Stun_Impact			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_Stun_Impact	
	662791751	Stop_Gravity_Loop_01			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Stop_Gravity_Loop_01	
	772058189	Play_B2B_Impact			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_B2B_Impact	
	793739678	Play_Ball_Impact			\Default Work Unit\SFX_Events\General_Events\Play_Ball_Impact	
	1043385440	Play_Enemy_Block			\Default Work Unit\SFX_Events\Enemy_Events\Play_Enemy_Block	
	1175091385	Play_Song_1			\Default Work Unit\Music_Events\Play_Song_1	
	1175091386	Play_Song_2			\Default Work Unit\Music_Events\Play_Song_2	
	1235227776	Play_WTSB			\Default Work Unit\Voiceover_Events\Play_WTSB	
	1265909510	Play_Menu_Accept			\Default Work Unit\UI_Events\Play_Menu_Accept	
	1270970974	Play_Enemy_Catch			\Default Work Unit\SFX_Events\Enemy_Events\Play_Enemy_Catch	
	1349854879	Stop_Stun_Loop_03			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Stop_Stun_Loop_03	
	1357484874	Play_Menu_Close			\Default Work Unit\UI_Events\Play_Menu_Close	
	1497459184	Play_GameStart			\Default Work Unit\Voiceover_Events\Play_GameStart	
	1529415144	Stop_KnockBack_Loop_01			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Stop_KnockBack_Loop_01	
	1673311249	Play_Enemy_Dash			\Default Work Unit\SFX_Events\Enemy_Events\Play_Enemy_Dash	
	1699464801	Play_Gravity_Throw			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_Gravity_Throw	
	1835085974	Play_Player_Death			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Death	
	1951799486	Play_FloorBreak_Impact			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_FloorBreak_Impact	
	2038586767	Play_Stun_Throw			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_Stun_Throw	
	2175711460	Play_Player_Dash			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Dash	
	2175797879	Play_CountDown			\Default Work Unit\Voiceover_Events\Play_CountDown	
	2236734574	Play_Menu_Open			\Default Work Unit\UI_Events\Play_Menu_Open	
	2241129993	Play_Enemy_Parry			\Default Work Unit\SFX_Events\Enemy_Events\Play_Enemy_Parry	
	2279634092	Play_Go			\Default Work Unit\Voiceover_Events\Play_Go	
	2280523856	Play_FloorBreak_Throw			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_FloorBreak_Throw	
	2308069490	Stop_FloorBreak_Loop_01			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Stop_FloorBreak_Loop_01	
	2482441353	Play_Gravity_Impact			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_Gravity_Impact	
	2638684734	Play_Menu_Down			\Default Work Unit\UI_Events\Play_Menu_Down	
	2821402661	Stop_Normie_Loop_01			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Stop_Normie_Loop_01	
	2878774629	Play_Menu_Up			\Default Work Unit\UI_Events\Play_Menu_Up	
	2918305388	Play_Player_Throw_Ball			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Throw_Ball	
	2955987680	Play_Win			\Default Work Unit\Voiceover_Events\Play_Win	
	2985718832	Play_KnockBack_Impact			\Default Work Unit\SFX_Events\General_Events\Special_Ball_Events\Play_KnockBack_Impact	
	3046156865	Play_Enemy_Death			\Default Work Unit\SFX_Events\Enemy_Events\Play_Enemy_Death	
	3387145917	Play_Player_Catch			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Catch	
	3638125099	Play_Player_Damage			\Default Work Unit\SFX_Events\Player_Events\Play_Player_Damage	
	3796466245	Play_Lose			\Default Work Unit\Voiceover_Events\Play_Lose	
	3804802068	Play_Exclamations			\Default Work Unit\Voiceover_Events\Play_Exclamations	
	3910976683	Play_Option_Up			\Default Work Unit\UI_Events\Play_Option_Up	
	4280871576	Stop_Song_2			\Default Work Unit\Music_Events\Stop_Song_2	
	4280871579	Stop_Song_1			\Default Work Unit\Music_Events\Stop_Song_1	

Switch Group	ID	Name			Wwise Object Path	Notes
	703738954	Ball_Impact_Switch			\Default Work Unit\Ball_Impact_Switch	
	1730638173	Announcer_Voice			\Default Work Unit\Announcer_Voice	

Switch	ID	Name	Switch Group			Notes
	175620874	Impact_Wall	Ball_Impact_Switch			
	2895357037	Impact_Player	Ball_Impact_Switch			
	204737959	Austin	Announcer_Voice			
	448633234	Chris	Announcer_Voice			
	765054342	Bri	Announcer_Voice			
	1363409729	Spencer	Announcer_Voice			
	1573445812	Virgil	Announcer_Voice			
	2806120763	Jordan	Announcer_Voice			
	3969101217	MiniChrisMarks	Announcer_Voice			

Game Parameter	ID	Name			Wwise Object Path	Notes
	487587012	Player_Distance			\Default Work Unit\Player_Distance	
	3771396309	Gameplay_Speed			\Default Work Unit\Gameplay_Speed	Value of current gameplay speed (Slowmo Effect): 0.25 to 1 

Effect plug-ins	ID	Name	Type				Notes
	1291433344	Bass	Wwise Flanger			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	421074	Spencer_Exclamations_08	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Spencer_Exclamations_08_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Exclamations\Spencer\Heating_Up\Spencer_Exclamations_08		350064
	8450180	Jordan_Exclamations_13	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Jordan_Exclamations_13_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Exclamations\Jordan\Jordan_Exclamations_13		60352
	9786349	Bri_Exclamations_02	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Bri_Exclamations_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Exclamations\Bri\Bri_Exclamations_02		63456
	12110021	Gravity_Impact_03	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Gravity_Impact_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Ball_SFX\Special_Ball\Gravity\Gravity_Impact\Gravity_Impact_03		135240
	12848499	Jordan_Win_Condition_04	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Jordan_Win_Condition_04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\GameStart\Jordan\Jordan_Win_Condition_04		263296
	21746441	Virgil_Exclamations_03	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Virgil_Exclamations_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Exclamations\Virgil\Virgil_Exclamations_03		117838
	26131399	Player_Death_04	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Player_Death_04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Player_SFX\Player_Death\Player_Death_04		39860
	26520341	Gravity_Loop_Tail_01	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Gravity_Loop_Tail_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Ball_SFX\Special_Ball\Gravity\Gravity_Loop_Tail_01		32628
	28219703	Jordan_Exclamations_14	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Jordan_Exclamations_14_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Exclamations\Jordan\Jordan_Exclamations_14		103200
	28986412	Bri_Exclamations_05	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Bri_Exclamations_05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Exclamations\Bri\Bri_Exclamations_05		122176
	33642319	Virgil_Lose_01	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Virgil_Lose_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Lose\Virgil\Virgil_Lose_01		93388
	38225553	Gravity_Impact_04	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Gravity_Impact_04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Ball_SFX\Special_Ball\Gravity\Gravity_Impact\Gravity_Impact_04		136210
	39091837	ChrisM_Lose_01	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\ChrisM_Lose_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Lose\MiniChrisM\ChrisM_Lose_01		139314
	44459246	B2B_Impact_05	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\B2B_Impact_05_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Ball_SFX\Special_Ball\Normie_Ball\B2B_Impact\B2B_Impact_05		138064
	48650543	Parry_03	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Parry_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Enemy_SFX\Enemy_Parry\Parry_03		87484
	55999097	Player_Dash_Short_04	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Player_Dash_Short_04_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Player_SFX\Player_Dash\Player_Dash_Short_04		74990
	65600882	Spencer_Go_01	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Spencer_Go_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\VoiceOvers\Go\Spencer\Spencer_Go_01		256148
	67055393	Normie_Loop_V2_01	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Normie_Loop_V2_01_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Ball_SFX\Special_Ball\Normie_Ball\Normie_Loop_V2_01		763198
	67073730	Enemy_Dash_Short_01	Y:\Documents\Full Sail\Internship\SportsBall\SportsBall\.cache\Windows\SFX\Enemy_Dash_Short_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sound Effects\Enemy_SFX\Enemy_Dash\Enemy_Dash_Short_01		99174
